#title,HAXPES_TEC10EA50E_202302 H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10EA50E_202302

2.38118,25317.9
2.33118,25464.8
2.28118,25725.3
2.23118,25799.9
2.18118,26187.1
2.13118,26248.5
2.08118,26374.7
2.03118,26596.8
1.98118,26421.6
1.93118,26571.5
1.88118,26799.7
1.83118,26729.1
1.78118,26587.5
1.73118,26579.8
1.68118,26482.8
1.63118,25999
1.58118,25993.4
1.53118,25870.1
1.48118,25758.5
1.43118,25668
1.38118,25539.1
1.33118,25442.6
1.28118,25357.3
1.23118,25246.4
1.18118,25266.7
1.13118,25256.5
1.08118,25140.5
1.03118,25058.8
0.981183,25166.3
0.931183,25419.9
0.881183,25307.2
0.831183,25013.9
0.781183,24884
0.731183,24843.5
0.681183,24960.7
0.631183,25226.2
0.581183,25191.5
0.531183,25501
0.481183,25573.7
0.431183,25911.9
0.381183,26262.8
0.331183,26471.2
0.281183,26747.1
0.231183,26497
0.181183,25616.5
0.131183,23042.1
0.0811829,19184.2
0.0311829,14418.1
-0.0188171,8970.96
-0.0688171,4769.2
-0.118817,2013.42
-0.168817,686.434
-0.218817,236.97
-0.268817,86.8662
-0.318817,28.2455
-0.368817,21.6049
-0.418817,38.669
-0.468817,24.659
-0.518817,16.4175
-0.568817,25.403
-0.618817,18.6809
-0.668817,21.2393
-0.718817,23.887
-0.768817,11.8644
-0.818817,7.10027
-0.868817,23.4812
-0.918817,45.0014
-0.968817,26.5347
-1.01882,12.5646
-1.06882,9.96314
-1.11882,7.30542
-1.16882,13.571
-1.21882,26.5107
-1.26882,21.5776
-1.31882,8.954
-1.36882,9.71819
-1.41882,14.3404
-1.46882,9.29482
-1.51882,11.2866
-1.56882,10.8634
-1.61882,15.3447
-1.66882,25.6805
-1.71882,16.1183
-1.76882,15.4663
-1.81882,15.4093
-1.86882,10.742
-1.91882,7.83571
-1.96882,5.57776
-2.01882,9.73574
-2.06882,8.76879
-2.11882,11.4045
-2.16882,8.40904
-2.21882,16.3055
-2.26882,16.1489
-2.31882,13.8676
-2.36882,30.5773
-2.41882,19.5648
-2.46882,10.7529
-2.51882,12.7525
-2.56882,16.0242
-2.61882,27.2882
-2.66882,17.4364
-2.71882,30.3206
-2.76882,29.7106
-2.81882,18.0288
-2.86882,14.299
