S:\NEDO\BentenPaper\Particle 1.33 .38_2024-11-21_17-25-43_profileV.txt
Energy= 11.504 keV (q < .3), 11.504 keV (q > .3)
Simulated by SphereSimulator
1000
 .01	 122674.3	0
 .02	 122654.4	0
 .03	 122620.9	0
 .04	 122574.2	0
 .05	 122514.1	0
 .06	 122440.7	0
 .07	 122354.1	0
 .08	 122254.2	0
 .09	 122141	0
 .1	 122014.8	0
 .11	 121875.4	0
 .12	 121722.8	0
 .13	 121557.1	0
 .14	 121378.6	0
 .15	 121187.1	0
 .16	 120982.7	0
 .17	 120765.5	0
 .18	 120535.6	0
 .19	 120293	0
 .2	 120037.8	0
 .21	 119770.1	0
 .22	 119490	0
 .23	 119197.6	0
 .24	 118893.1	0
 .25	 118576.3	0
 .26	 118247.6	0
 .27	 117906.9	0
 .28	 117554.4	0
 .29	 117190.2	0
 .3	 116814.4	0
 .31	 116427.2	0
 .32	 116028.6	0
 .33	 115618.9	0
 .34	 115198	0
 .35	 114766.2	0
 .36	 114323.7	0
 .37	 113870.4	0
 .38	 113406.6	0
 .39	 112932.4	0
 .4	 112447.9	0
 .41	 111953.5	0
 .42	 111449	0
 .43	 110934.9	0
 .44	 110411	0
 .45	 109877.7	0
 .46	 109335.1	0
 .47	 108783.5	0
 .48	 108222.8	0
 .49	 107653.4	0
 .5	 107075.3	0
 .51	 106488.8	0
 .52	 105894.1	0
 .53	 105291.3	0
 .54	 104680.4	0
 .55	 104062	0
 .56	 103435.9	0
 .57	 102802.5	0
 .58	 102161.9	0
 .59	 101514.3	0
 .6	 100860	0
 .61	 100199	0
 .62	 99531.61	0
 .63	 98857.98	0
 .64	 98178.26	0
 .65	 97492.67	0
 .66	 96801.48	0
 .67	 96104.78	0
 .68	 95402.8	0
 .69	 94695.81	0
 .7	 93983.84	0
 .71	 93267.23	0
 .72	 92546.09	0
 .73	 91820.69	0
 .74	 91091.09	0
 .75	 90357.66	0
 .76	 89620.48	0
 .77	 88879.73	0
 .78	 88135.77	0
 .79	 87388.53	0
 .8	 86638.35	0
 .81	 85885.46	0
 .82	 85129.98	0
 .83	 84372.11	0
 .84	 83612.02	0
 .85	 82849.95	0
 .86	 82086.05	0
 .87	 81320.55	0
 .88	 80553.56	0
 .89	 79785.27	0
 .9	 79016	0
 .91	 78245.72	0
 .92	 77474.73	0
 .93	 76703.23	0
 .94	 75931.42	0
 .95	 75159.34	0
 .96	 74387.21	0
 .97	 73615.23	0
 .98	 72843.59	0
 .99	 72072.49	0
 1	 71301.92	0
 1.01	 70532.21	0
 1.02	 69763.48	0
 1.03	 68995.87	0
 1.04	 68229.55	0
 1.05	 67464.68	0
 1.06	 66701.38	0
 1.07	 65939.85	0
 1.08	 65180.2	0
 1.09	 64422.57	0
 1.1	 63667.14	0
 1.11	 62914.03	0
 1.12	 62163.36	0
 1.13	 61415.3	0
 1.14	 60669.96	0
 1.15	 59927.5	0
 1.16	 59188.02	0
 1.17	 58451.63	0
 1.18	 57718.48	0
 1.19	 56988.7	0
 1.2	 56262.39	0
 1.21	 55539.69	0
 1.22	 54820.63	0
 1.23	 54105.45	0
 1.24	 53394.17	0
 1.25	 52686.87	0
 1.26	 51983.71	0
 1.27	 51284.79	0
 1.28	 50590.17	0
 1.29	 49899.95	0
 1.3	 49214.25	0
 1.31	 48533.11	0
 1.32	 47856.7	0
 1.33	 47185	0
 1.34	 46518.13	0
 1.35	 45856.2	0
 1.36	 45199.2	0
 1.37	 44547.31	0
 1.38	 43900.52	0
 1.39	 43258.93	0
 1.4	 42622.57	0
 1.41	 41991.53	0
 1.42	 41365.86	0
 1.43	 40745.59	0
 1.44	 40130.84	0
 1.45	 39521.56	0
 1.46	 38917.88	0
 1.47	 38319.8	0
 1.48	 37727.41	0
 1.49	 37140.72	0
 1.5	 36559.69	0
 1.51	 35984.45	0
 1.52	 35415.02	0
 1.53	 34851.42	0
 1.54	 34293.68	0
 1.55	 33741.78	0
 1.56	 33195.81	0
 1.57	 32655.73	0
 1.58	 32121.57	0
 1.59	 31593.38	0
 1.6	 31071.17	0
 1.61	 30554.91	0
 1.62	 30044.64	0
 1.63	 29540.32	0
 1.64	 29042	0
 1.65	 28549.66	0
 1.66	 28063.35	0
 1.67	 27582.98	0
 1.68	 27108.6	0
 1.69	 26640.22	0
 1.7	 26177.77	0
 1.71	 25721.29	0
 1.72	 25270.78	0
 1.73	 24826.16	0
 1.74	 24387.48	0
 1.75	 23954.68	0
 1.76	 23527.76	0
 1.77	 23106.71	0
 1.78	 22691.47	0
 1.79	 22282.06	0
 1.8	 21878.44	0
 1.81	 21480.57	0
 1.82	 21088.43	0
 1.83	 20702	0
 1.84	 20321.24	0
 1.85	 19946.11	0
 1.86	 19576.6	0
 1.87	 19212.64	0
 1.88	 18854.24	0
 1.89	 18501.32	0
 1.9	 18153.86	0
 1.91	 17811.83	0
 1.92	 17475.16	0
 1.93	 17143.85	0
 1.94	 16817.82	0
 1.95	 16497.07	0
 1.96	 16181.51	0
 1.97	 15871.12	0
 1.98	 15565.85	0
 1.99	 15265.65	0
 2	 14970.48	0
 2.01	 14680.28	0
 2.02	 14395.02	0
 2.03	 14114.64	0
 2.04	 13839.09	0
 2.05	 13568.33	0
 2.06	 13302.3	0
 2.07	 13040.95	0
 2.08	 12784.23	0
 2.09	 12532.09	0
 2.1	 12284.46	0
 2.11	 12041.31	0
 2.12	 11802.58	0
 2.13	 11568.24	0
 2.14	 11338.19	0
 2.15	 11112.4	0
 2.16	 10890.83	0
 2.17	 10673.41	0
 2.18	 10460.08	0
