530
Dataset measured at BL04B2
6.7 -1.00058 0.103387 0.436221 0.460392 
6.75 -0.741692 0.103505 0.436351 0.460144 
6.8 -0.224544 0.103629 0.436488 0.459883 
6.85 0.646631 0.10376 0.436632 0.459608 
6.9 1.93411 0.103896 0.436782 0.459322 
6.95 3.42467 0.104038 0.436937 0.459024 
7 4.75032 0.104185 0.437098 0.458716 
7.05 5.33579 0.104337 0.437264 0.458398 
7.1 5.379 0.104494 0.437435 0.458071 
7.15 5.35354 0.104655 0.43761 0.457736 
7.2 4.91116 0.104819 0.437788 0.457392 
7.25 3.46029 0.104988 0.437971 0.457042 
7.3 1.68842 0.10516 0.438156 0.456684 
7.35 0.426775 0.105335 0.438345 0.456321 
7.4 -0.248509 0.105512 0.438536 0.455952 
7.45 -0.642178 0.105693 0.438729 0.455578 
7.5 -0.801606 0.105876 0.438925 0.455199 
7.55 -0.845273 0.106061 0.439123 0.454817 
7.6 -0.746401 0.106248 0.439322 0.45443 
7.65 -0.466441 0.106437 0.439522 0.454041 
7.7 -0.0335124 0.106627 0.439724 0.453649 
7.75 0.615728 0.106819 0.439927 0.453254 
7.8 1.45327 0.107012 0.440131 0.452857 
7.85 2.15826 0.107206 0.440335 0.452459 
7.9 2.27419 0.107402 0.440539 0.452059 
7.95 1.68272 0.107598 0.440744 0.451658 
8 0.9609 0.107794 0.440949 0.451257 
8.05 0.381201 0.107991 0.441154 0.450855 
8.1 0.169658 0.108189 0.441359 0.450452 
8.15 0.315117 0.108387 0.441564 0.45005 
8.2 0.758398 0.108585 0.441768 0.449648 
8.25 1.40298 0.108783 0.441972 0.449246 
8.3 2.22869 0.108981 0.442175 0.448845 
8.35 2.60112 0.109178 0.442377 0.448445 
8.4 2.19786 0.109376 0.442579 0.448045 
8.45 1.27799 0.109573 0.442779 0.447647 
8.5 0.278986 0.10977 0.442979 0.447251 
8.55 -0.352517 0.109967 0.443178 0.446855 
8.6 -0.712516 0.110163 0.443376 0.446461 
8.65 -0.909371 0.110358 0.443573 0.44607 
8.7 -1.00571 0.110553 0.443768 0.445679 
8.75 -1.0366 0.110747 0.443962 0.445291 
8.8 -1.00156 0.11094 0.444155 0.444905 
8.85 -0.879128 0.111132 0.444347 0.444521 
8.9 -0.707658 0.111324 0.444537 0.444139 
8.95 -0.444853 0.111515 0.444726 0.443759 
9 -0.194144 0.111704 0.444913 0.443382 
9.05 0.0790245 0.111893 0.445099 0.443007 
9.1 0.228906 0.112081 0.445284 0.442635 
9.15 0.2172 0.112268 0.445467 0.442265 
9.2 0.128567 0.112453 0.445648 0.441898 
9.25 0.285031 0.112638 0.445828 0.441534 
9.3 0.754701 0.112821 0.446007 0.441172 
9.35 1.52342 0.113004 0.446184 0.440813 
9.4 2.5688 0.113185 0.446359 0.440456 
9.45 3.66545 0.113365 0.446532 0.440103 
9.5 4.39196 0.113544 0.446705 0.439752 
9.55 4.31455 0.113721 0.446875 0.439404 
9.6 3.81353 0.113897 0.447044 0.439059 
9.65 2.97769 0.114072 0.447211 0.438717 
9.7 1.99611 0.114246 0.447376 0.438378 
9.75 1.12416 0.114418 0.44754 0.438041 
9.8 0.489038 0.114589 0.447703 0.437708 
9.85 0.140644 0.114759 0.447863 0.437378 
9.9 -0.0499634 0.114928 0.448022 0.43705 
9.95 -0.0319407 0.115095 0.448179 0.436726 
10 0.0900952 0.11526 0.448335 0.436405 
10.05 0.325939 0.115424 0.448489 0.436087 
10.1 0.536574 0.115587 0.448641 0.435772 
10.15 0.657703 0.115749 0.448791 0.43546 
10.2 0.617021 0.115909 0.44894 0.435151 
10.25 0.408021 0.116067 0.449087 0.434845 
10.3 0.27919 0.116224 0.449233 0.434543 
10.35 0.301355 0.11638 0.449377 0.434243 
10.4 0.561858 0.116534 0.449519 0.433947 
10.45 0.8316 0.116687 0.449659 0.433654 
10.5 1.19294 0.116838 0.449798 0.433364 
10.55 1.4135 0.116988 0.449935 0.433077 
10.6 1.36825 0.117136 0.45007 0.432794 
10.65 1.15207 0.117282 0.450204 0.432514 
10.7 0.780503 0.117427 0.450336 0.432237 
10.75 0.316291 0.117571 0.450466 0.431963 
10.8 -0.0860859 0.117712 0.450594 0.431693 
10.85 -0.305182 0.117853 0.450721 0.431426 
10.9 -0.392084 0.117991 0.450846 0.431163 
10.95 -0.454204 0.118128 0.450969 0.430903 
11 -0.382899 0.118263 0.451091 0.430646 
11.05 -0.262586 0.118397 0.45121 0.430393 
11.1 -0.151252 0.118529 0.451328 0.430143 
11.15 -0.0521927 0.118659 0.451445 0.429896 
11.2 0.0239897 0.118788 0.451559 0.429653 
11.25 0.161977 0.118914 0.451672 0.429414 
11.3 0.513607 0.119039 0.451783 0.429178 
11.35 0.908718 0.119163 0.451892 0.428946 
11.4 1.44364 0.119284 0.451999 0.428717 
11.45 1.8131 0.119404 0.452104 0.428492 
11.5 1.91642 0.119522 0.452208 0.42827 
11.55 1.76385 0.119638 0.45231 0.428053 
11.6 1.40537 0.119752 0.45241 0.427838 
11.65 1.06126 0.119864 0.452508 0.427628 
11.7 0.779348 0.119974 0.452604 0.427421 
11.75 0.56056 0.120083 0.452699 0.427218 
11.8 0.621799 0.120189 0.452792 0.42702 
11.85 0.859337 0.120294 0.452882 0.426824 
11.9 1.14361 0.120396 0.452971 0.426633 
11.95 1.48015 0.120497 0.453058 0.426445 
12 1.69153 0.120595 0.453143 0.426262 
12.05 1.75435 0.120692 0.453226 0.426082 
12.1 1.61824 0.120786 0.453307 0.425907 
12.15 1.55579 0.120879 0.453386 0.425735 
12.2 1.62667 0.120969 0.453464 0.425567 
12.25 1.87931 0.121057 0.453539 0.425404 
12.3 1.96326 0.121143 0.453612 0.425245 
12.35 1.95215 0.121227 0.453684 0.425089 
12.4 1.64162 0.121309 0.453753 0.424938 
12.45 1.05278 0.121388 0.453821 0.424791 
12.5 0.651915 0.121465 0.453886 0.424649 
12.55 0.292126 0.12154 0.453949 0.42451 
12.6 0.0452129 0.121613 0.454011 0.424376 
12.65 -0.0738226 0.121684 0.45407 0.424246 
12.7 -0.104165 0.121752 0.454127 0.424121 
12.75 -0.130483 0.121818 0.454182 0.424 
12.8 -0.100854 0.121881 0.454235 0.423883 
12.85 -0.0925488 0.121943 0.454286 0.423771 
12.9 -0.00969833 0.122002 0.454335 0.423663 
12.95 0.154562 0.122058 0.454382 0.42356 
13 0.325536 0.122112 0.454426 0.423462 
13.05 0.519621 0.122164 0.454469 0.423367 
13.1 0.79635 0.122213 0.454509 0.423278 
13.15 0.998507 0.12226 0.454547 0.423193 
13.2 1.22279 0.122304 0.454583 0.423113 
13.25 1.24352 0.122346 0.454617 0.423037 
13.3 1.0615 0.122385 0.454649 0.422967 
13.35 0.867929 0.122421 0.454678 0.4229 
13.4 0.652094 0.122456 0.454705 0.422839 
13.45 0.682705 0.122487 0.45473 0.422783 
13.5 0.639326 0.122516 0.454753 0.422731 
13.55 0.74221 0.122543 0.454774 0.422684 
13.6 0.806456 0.122566 0.454792 0.422642 
13.65 0.943139 0.122587 0.454808 0.422605 
13.7 0.940836 0.122606 0.454821 0.422573 
13.75 0.968886 0.122622 0.454833 0.422546 
13.8 1.10454 0.122635 0.454842 0.422523 
13.85 1.20157 0.122645 0.454849 0.422506 
13.9 1.37276 0.122653 0.454853 0.422494 
13.95 1.42391 0.122658 0.454855 0.422487 
14 1.32904 0.122661 0.454855 0.422485 
14.05 1.14191 0.12266 0.454852 0.422488 
14.1 0.942218 0.122657 0.454847 0.422496 
14.15 0.798802 0.122651 0.45484 0.422509 
14.2 0.748684 0.122642 0.45483 0.422528 
14.25 0.658426 0.122631 0.454818 0.422551 
14.3 0.795042 0.122617 0.454803 0.42258 
14.35 0.834671 0.1226 0.454786 0.422614 
14.4 0.909761 0.12258 0.454767 0.422653 
14.45 1.0231 0.122557 0.454745 0.422698 
14.5 1.19341 0.122531 0.454721 0.422748 
14.55 1.32257 0.122503 0.454694 0.422803 
14.6 1.56693 0.122472 0.454665 0.422863 
14.65 1.63553 0.122438 0.454634 0.422929 
14.7 1.58568 0.122401 0.454599 0.423 
14.75 1.45283 0.122361 0.454563 0.423076 
14.8 1.21029 0.122318 0.454524 0.423158 
14.85 1.0049 0.122273 0.454482 0.423245 
14.9 0.737232 0.122225 0.454438 0.423337 
14.95 0.604925 0.122173 0.454391 0.423435 
15 0.579878 0.122119 0.454342 0.423539 
15.05 0.645013 0.122062 0.45429 0.423647 
15.1 0.531393 0.122002 0.454236 0.423762 
15.15 0.626037 0.121939 0.454179 0.423881 
15.2 0.637024 0.121874 0.45412 0.424006 
