#title,HAXPES_TEC10E50E H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10E50E

0.463672,1.09263e+06
0.413672,1.08603e+06
0.363672,1.08423e+06
0.313672,1.08346e+06
0.263672,1.05761e+06
0.213672,1.00976e+06
0.163672,954261
0.113672,855123
0.063672,712375
0.013672,555879
-0.036328,387532
-0.086328,229719
-0.136328,122516
-0.186328,57733.3
-0.236328,25090.2
-0.286328,11884.9
-0.336328,7230.19
-0.386328,5455.27
-0.436328,5003.27
-0.486328,4747.36
-0.536328,4109.42
-0.586328,3798.63
-0.636328,3411.52
-0.686328,2733.07
-0.736328,2718.81
-0.786328,3273.16
-0.836328,3230.49
-0.886328,2358.46
-0.936328,1688.82
-0.986328,1663.74
-1.03633,1028.3
-1.08633,1295
-1.13633,2062.45
-1.18633,1940.14
-1.23633,1876.52
-1.28633,1754.11
-1.33633,1216.48
-1.38633,986.941
-1.43633,1246.45
-1.48633,885.117
-1.53633,533.391
-1.58633,936.426
-1.63633,1172.33
-1.68633,888.462
-1.73633,444.432
-1.78633,295.839
-1.83633,311.236
-1.88633,697.141
-1.93633,867.751
-1.98633,733.027
-2.03633,707.939
-2.08633,669.779
-2.13633,1441.7
-2.18633,817.12
-2.23633,408.312
-2.28633,868.675
-2.33633,1304.41
-2.38633,808.693
-2.43633,436.511
-2.48633,445.733
-2.53633,534.186
-2.58633,502.879
-2.63633,245.118
-2.68633,443.679
-2.73633,524.937
-2.78633,925.792
-2.83633,643.636
-2.88633,937.134
-2.93633,720.386
-2.98633,435.542
-3.03633,832.812
-3.08633,1168.43
-3.13633,1357.71
-3.18633,783.266
-3.23633,488.08
-3.28633,1012.62
