#title,HAXPES_TEC10F50E H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10F50E

-0.976413,62.073
-1.02641,60.6805
-1.07641,69.1066
-1.12641,68.3385
-1.17641,51.169
-1.22641,34.6721
-1.27641,22.2588
-1.32641,34.8289
-1.37641,58.7914
-1.42641,64.8444
-1.47641,54.1886
-1.52641,52.2531
-1.57641,44.1881
-1.62641,63.6752
-1.67641,60.2461
-1.72641,42.5755
-1.77641,62.835
-1.82641,53.1533
-1.87641,38.3082
-1.92641,27.8513
-1.97641,36.156
-2.02641,33.5252
-2.07641,40.8382
-2.12641,47.4592
-2.17641,52.9777
-2.22641,27.9179
-2.27641,33.7141
-2.32641,37.2995
-2.37641,52.3247
-2.42641,38.9024
-2.47641,49.3979
-2.52641,51.6626
-2.57641,42.6868
-2.62641,39.0783
-2.67641,43.146
-2.72641,40.7795
-2.77641,45.5864
-2.82641,45.737
-2.87641,40.1734
-2.92641,32.1588
-2.97641,26.5502
